time,FID,etof,acres
2020-01-01,077_000062,0.465,63.009
2020-01-01,077_000066,0.269,111.285
2020-01-01,077_000049,0.532,19.941
2020-01-01,077_000050,0.46,28.331
2020-02-01,077_000017,0.429,35.512
2020-02-01,077_000018,0.445,7.79
2020-02-01,077_000019,0.585,26.043
2020-02-01,077_000020,0.483,18.267
2020-02-01,077_000063,0.45,85.433
2020-02-01,077_000038,0.438,82.327
2020-02-01,077_000039,0.438,63.029
2020-02-01,077_000040,0.37,66.515
2020-02-01,077_000062,0.448,63.009
2020-02-01,077_000066,0.496,111.285
2020-02-01,077_000049,0.475,19.941
2020-02-01,077_000050,0.415,28.331
2020-03-01,077_000017,0.511,35.512
2020-03-01,077_000018,0.523,7.79
2020-03-01,077_000019,0.677,26.043
2020-03-01,077_000020,0.589,18.267
2020-03-01,077_000063,0.567,85.433
2020-03-01,077_000038,0.51,82.327
2020-03-01,077_000039,0.522,63.029
2020-03-01,077_000040,0.609,66.515
2020-03-01,077_000062,0.511,63.009
2020-03-01,077_000066,0.592,111.285
2020-03-01,077_000049,0.604,19.941
2020-03-01,077_000050,0.474,28.331
2020-04-01,077_000017,0.712,35.512
2020-04-01,077_000018,0.7,7.79
2020-04-01,077_000019,0.755,26.043
2020-04-01,077_000020,0.786,18.267
2020-04-01,077_000063,0.746,85.433
2020-04-01,077_000038,0.672,82.327
2020-04-01,077_000039,0.703,63.029
2020-04-01,077_000040,0.689,66.515
2020-04-01,077_000062,0.687,63.009
2020-04-01,077_000066,0.698,111.285
2020-04-01,077_000049,0.76,19.941
2020-04-01,077_000050,0.607,28.331
2020-05-01,077_000017,1.008,35.512
2020-05-01,077_000018,0.958,7.79
2020-05-01,077_000019,0.956,26.043
2020-05-01,077_000020,0.907,18.267
2020-05-01,077_000063,1.001,85.433
2020-05-01,077_000038,0.94,82.327
2020-05-01,077_000039,1.032,63.029
2020-05-01,077_000040,0.97,66.515
2020-05-01,077_000062,1.03,63.009
2020-05-01,077_000066,0.987,111.285
2020-05-01,077_000049,0.995,19.941
2020-05-01,077_000050,0.978,28.331
2020-06-01,077_000017,1.067,35.512
2020-06-01,077_000018,1.056,7.79
2020-06-01,077_000019,1.071,26.043
2020-06-01,077_000020,1.055,18.267
2020-06-01,077_000063,1.072,85.433
2020-06-01,077_000038,1.043,82.327
2020-06-01,077_000039,1.083,63.029
2020-06-01,077_000040,1.043,66.515
2020-06-01,077_000062,1.058,63.009
2020-06-01,077_000066,1.065,111.285
2020-06-01,077_000049,1.056,19.941
2020-06-01,077_000050,1.037,28.331
2020-07-01,077_000017,0.976,35.512
2020-07-01,077_000018,0.875,7.79
2020-07-01,077_000019,0.915,26.043
2020-07-01,077_000020,0.988,18.267
2020-07-01,077_000063,0.796,85.433
2020-07-01,077_000038,0.943,82.327
2020-07-01,077_000039,0.931,63.029
2020-07-01,077_000040,1.032,66.515
2020-07-01,077_000062,1.016,63.009
2020-07-01,077_000066,0.932,111.285
2020-07-01,077_000049,0.787,19.941
2020-07-01,077_000050,0.884,28.331
2020-08-01,077_000017,0.793,35.512
2020-08-01,077_000018,0.684,7.79
2020-08-01,077_000019,0.526,26.043
2020-08-01,077_000020,0.799,18.267
2020-08-01,077_000063,0.716,85.433
2020-08-01,077_000038,0.852,82.327
2020-08-01,077_000039,0.897,63.029
2020-08-01,077_000040,0.863,66.515
2020-08-01,077_000062,0.893,63.009
2020-08-01,077_000066,0.898,111.285
2020-08-01,077_000049,0.671,19.941
2020-08-01,077_000050,0.757,28.331
2020-09-01,077_000017,0.849,35.512
2020-09-01,077_000018,0.612,7.79
2020-09-01,077_000019,0.408,26.043
2020-09-01,077_000020,0.699,18.267
2020-09-01,077_000063,0.671,85.433
2020-09-01,077_000038,0.797,82.327
2020-09-01,077_000039,0.746,63.029
2020-09-01,077_000040,0.834,66.515
2020-09-01,077_000062,0.838,63.009
2020-09-01,077_000066,0.831,111.285
2020-09-01,077_000049,0.591,19.941
2020-09-01,077_000050,0.679,28.331
2020-10-01,077_000017,0.753,35.512
2020-10-01,077_000018,0.542,7.79
2020-10-01,077_000019,0.428,26.043
2020-10-01,077_000020,0.625,18.267
2020-10-01,077_000063,0.623,85.433
2020-10-01,077_000038,0.609,82.327
2020-10-01,077_000039,0.707,63.029
2020-10-01,077_000040,0.761,66.515
2020-10-01,077_000062,0.692,63.009
2020-10-01,077_000066,0.724,111.285
2020-10-01,077_000049,0.464,19.941
2020-10-01,077_000050,0.519,28.331
2020-11-01,077_000017,0.719,35.512
